具体地址,省份,风险等级,数据更新时间,是否为新增加
郑州市二七区京广路街道春晖社区,河南,高风险,2021年7月31日19时,是
德宏傣族景颇族自治州瑞丽市姐告国门社区,云南,高风险,2021年7月31日19时,否
南京市江宁区禄口街道全域,江苏,高风险,2021年7月31日19时,否
郑州市二七区京广路街道广兴洁云花园小区,河南,中风险,2021年7月31日19时,是
郑州市二七区长江路街道海豫花园小区,河南,中风险,2021年7月31日19时,是
郑州市二七区长江路街道张魏寨中街36号院,河南,中风险,2021年7月31日19时,是
德宏傣族景颇族自治州陇川县章凤镇迭撒村拉影村民小组,云南,中风险,2021年7月31日19时,否
德宏傣族景颇族自治州瑞丽市弄岛镇雷允村委会雷允村民小组,云南,中风险,2021年7月31日19时,否
南京市江宁区湖熟街道周岗社区张巷自然村,江苏,中风险,2021年7月31日19时,否
南京市江宁区湖熟街道周岗社区庄上自然村,江苏,中风险,2021年7月31日19时,否
南京市江宁区湖熟街道周岗社区新风苑,江苏,中风险,2021年7月31日19时,否
"南京市江宁区湖熟街道周岗社区围合区域(东至集贤路,南至长干街,西至康庄路,北至齐尚街)",江苏,中风险,2021年7月31日19时,是
南京市江宁区湖熟街道尚桥社区焦东自然村,江苏,中风险,2021年7月31日19时,否
南京市江宁区湖熟街道钱家村钱家自然村,江苏,中风险,2021年7月31日19时,否
南京市江宁区秣陵街道殷巷社区龙湖文馨苑小区,江苏,中风险,2021年7月31日19时,否
南京市江宁区秣陵街道青源社区翠屏湾花园城,江苏,中风险,2021年7月31日19时,否
南京市江宁区横溪街道许呈社区小呈自然村,江苏,中风险,2021年7月31日19时,否
南京市江宁区东山街道骆村社区天琪福苑,江苏,中风险,2021年7月31日19时,否
南京市江宁区东山街道岔路社区绿城深蓝小区,江苏,中风险,2021年7月31日19时,否
南京市江宁区麒麟街道麒麟门社区西路95号,江苏,中风险,2021年7月31日19时,否
南京市江宁区淳化街道新林村郭村自然村,江苏,中风险,2021年7月31日19时,否
南京市玄武区孝陵卫街道胜利村100号,江苏,中风险,2021年7月31日19时,否
南京市秦淮区瑞金路街道标营4号26栋、27栋、28栋、29栋、30栋,江苏,中风险,2021年7月31日19时,否
南京市秦淮区中华门街道晨光新苑16栋,江苏,中风险,2021年7月31日19时,否
南京市建邺区南苑街道所街26号,江苏,中风险,2021年7月31日19时,否
南京市建邺区南苑街道吉庆家园小区,江苏,中风险,2021年7月31日19时,否
南京市建邺区莫愁湖街道凤栖苑  ,江苏,中风险,2021年7月31日19时,否
南京市鼓楼区挹江门街道大桥南路10号,江苏,中风险,2021年7月31日19时,否
南京市鼓楼区中央门街道工人新村小区,江苏,中风险,2021年7月31日19时,否
南京市雨花台区铁心桥街道风翔花园4期,江苏,中风险,2021年7月31日19时,否
南京市雨花台区铁心桥街道风翔新城1期,江苏,中风险,2021年7月31日19时,否
南京市雨花台区铁心桥街道景明佳园小区,江苏,中风险,2021年7月31日19时,是
南京市栖霞区迈皋桥街遊和燕花苑12幢,江苏,中风险,2021年7月31日19时,否
南京市溧水区石湫街道九塘行政村毛家圩自然村,江苏,中风险,2021年7月31日19时,否
南京市溧水区永阳街道万科城香樟苑,江苏,中风险,2021年7月31日19时,否
南京市溧水区永阳街道宏力花苑,江苏,中风险,2021年7月31日19时,否
南京市溧水区柘塘街道湖滨新寓,江苏,中风险,2021年7月31日19时,否
南京市高淳区桠溪街道省道239与桠定路交叉路口芜太建材店所在建筑范国,江苏,中风险,2021年7月31日19时,否
宿迁市泗阳县众兴街道西湖社区中华商城小区,江苏,中风险,2021年7月31日19时,否
扬州市邗江区双桥街道念四新村小区,江苏,中风险,2021年7月31日19时,是
扬州市邗江区双桥街道武塘社区文昌路以南、明月路以北、维扬路以西、新城河路以东区域,江苏,中风险,2021年7月31日19时,是
扬州市邗江区双桥街道杨庄街坊,江苏,中风险,2021年7月31日19时,是
扬州市邗江区双桥街道武塘社区明月路以南、文汇西路以北、维扬路以西、新城河路以东区域,江苏,中风险,2021年7月31日19时,是
扬州市邗江区西湖镇俞桥村俞桥组,江苏,中风险,2021年7月31日19时,是
扬州市广陵区汶河街道石塔社区淮海路157号大院,江苏,中风险,2021年7月31日19时,是
扬州市广陵区东关街道彩衣街34号,江苏,中风险,2021年7月31日19时,否
淮安市洪泽区高良涧街道洪泽园三村宏盛家园十栋,江苏,中风险,2021年7月31日19时,是
淮安市淇泽区高良涧街道崔朱社区泽地华城12栋,江苏,中风险,2021年7月31日19时,是
淮安市洪泽区高良涧街道王庄村13组胡桑田庄台,江苏,中风险,2021年7月31日19时,是
成都市青羊区光华街道优品道曦岸小区,四川,中风险,2021年7月31日19时,否
成都市高新区石羊街道都城雅颂居小区,四川,中风险,2021年7月31日19时,否
成都市高新区石羊街道美洲花园68栋,四川,中风险,2021年7月31日19时,否
宜宾市南溪区南溪街道江景郦城小区1栋,四川,中风险,2021年7月31日19时,否
绵阳市涪城区吴家镇惠科路1号厂区,四川,中风险,2021年7月31日19时,否
沪州市江阳区黄舣镇裕兴路4号厂区办公宿舍楼,四川,中风险,2021年7月31日19时,是
沈阳市大东区珠林路50—15号楼,辽宁,中风险,2021年7月31日19时,否
大连市甘井子区泉水街道A4区27号楼,辽宁,中风险,2021年7月31日19时,否
张家界市武陵源区军地坪街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区永定街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区崇文街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区南庄坪街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区官黎坪街道,湖南,中风险,2021年7月31日19时,否
张家界市水定区后坪街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区沙堤街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区大庸桥街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区西溪坪街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区阳湖坪街道,湖南,中风险,2021年7月31日19时,否
张家界市永定区枫香岗街道,湖南,中风险,2021年7月31日19时,否
长沙市天心区赤岭路街道乾城嘉园,湖南,中风险,2021年7月31日19时,是
宁乡市城郊街道馨宁新村小区,湖南,中风险,2021年7月31日19时,是
宁乡市城郊街道未来方舟小区2号栋,湖南,中风险,2021年7月31日19时,是
株洲市云龙示范区学林街道学府华庭小区,湖南,中风险,2021年7月31日19时,是
株洲市云龙示范区学林街道学府港湾小区,湖南,中风险,2021年7月31日19时,是
株洲市云龙示范区学林街道锦绣香江小区,湖南,中风险,2021年7月31日19时,是
株洲市云龙示范区学林街道大丰安置房,湖南,中风险,2021年7月31日19时,是
湘西土家族苗族自治州古丈县默戎镇墨戎苗寨,湖南,中风险,2021年7月31日19时,是
湘西土家族苗族自治州吉首市峒河街道办事处五里牌社区公租房小区,湖南,中风险,2021年7月31日19时,是
益阳市赫山区赫山街道铂金汉宫小区二栋、七栋,湖南,中风险,2021年7月31日19时,是
厦门市思明区莲前街道源泉山庄A区(前埔六里1-20),福建,中风险,2021年7月31日19时,是
黄冈市红安县永佳河镇,湖北,中风险,2021年7月31日19时,是
